Ctrl ID,Controls Assessment Module,Windows 10 Guide,
3.4,Passes if automatic updates are set to 'Auto Download and schedule the install',Shows how to enforce Windows 10 updates,
4.2,Passes if the Minimum Password Length meets or exceeds a specified minimum,Shows how to change password and enforce length ,
6.2,Passes if at least 1 Audit Policy Sub-Category is enabled,Shows how to configure 1 log via LGPE ,
8.2,Passes if any Antivirus is enabled and up-to-date ,Shows how to configure Windows Defender ,
8.5,Passes if AutoPlay and AutoRun are disabled ,Shows how to configure AutoPlay and AutoRun,
9.4,Passes if all 3 Windows Firewall profiles are enabled and have a default deny rule for Inbound Traffic,Shows how to enable Windows Defender firewall via UI and LGPE,
10.1,Passes if Windows 10 File History is turned on for at least 1 user,Shows how to use Windows File History ,
10.2,Passes if the date of the last successful Windows System Image backup occurred within a specified number of days,Shows how to use the Windows 7 Backup tool,
10.4,Passes if native Windows encryption is turned on for the backup drives being used to store backups for File History and System Image backup (if enabled),Shows how to turn on BitLocker,
13.6,Passes if BitLocker is enabled on all drives,Encourages usage of CIS Benchmarks for iOS and Android,
15.7,Passes if all wireless connections use WPA2,Shows how to check for network type,
16.9,Passes if all enabled local user accounts have been logged into within a specified number of days,Shows how to view accounts on a system,
16.11,Passes if Interactive Logon Machine inactivity limit is enabled and less than a specified timeframe,Shows how to configure Interactive logon limit,
,,,
,,,
,,,
